Fe-Co: 	 0.5, 	 Fe-Co: 	 0.5 	 in ( Co-Co)
Co-Fe: 	 0.0, 	 Co-Co: 	 1.0 	 in ( Co-Fe)
Co-Co: 	 1.0, 	 Co-Fe: 	 0.0 	 in ( Co-Fe)
Fe-Co: 	 0.9589474544306656, 	 Fe-Si: 	 0.04105254556933429 	 in ( Co-Si)
Co-Fe: 	 0.9603893118812055, 	 Co-Si: 	 0.039610688118794465 	 in ( Si-Fe)
Si-Co: 	 0.4906869982791673, 	 Si-Fe: 	 0.5093130017208327 	 in ( Co-Fe)
Fe-Si: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.1677671976606744, 	 Fe-Al: 	 0.8322328023393255 	 in ( Si-Al)
Si-Fe: 	 0.2899208779383628, 	 Si-Al: 	 0.7100791220616373 	 in ( Al-Fe)
Al-Si: 	 0.3305349474231447, 	 Al-Fe: 	 0.6694650525768553 	 in ( Si-Fe)
Fe-Si: 	 0.22628806816190036, 	 Fe-Mg: 	 0.7737119318380996 	 in ( Si-Mg)
Si-Fe: 	 0.66830348122154, 	 Si-Mg: 	 0.33169651877846 	 in ( Mg-Fe)
Mg-Si: 	 0.1267602398505345, 	 Mg-Fe: 	 0.8732397601494655 	 in ( Si-Fe)
Fe-Si: 	 0.04105254556933429, 	 Fe-Co: 	 0.9589474544306656 	 in ( Si-Co)
Si-Fe: 	 0.5093130017208327, 	 Si-Co: 	 0.4906869982791673 	 in ( Co-Fe)
Co-Si: 	 0.039610688118794465, 	 Co-Fe: 	 0.9603893118812055 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.22628806816190036, 	 Fe-Mg: 	 0.7737119318380996 	 in ( Si-Mg)
Si-Fe: 	 0.66830348122154, 	 Si-Mg: 	 0.33169651877846 	 in ( Mg-Fe)
Mg-Si: 	 0.1267602398505345, 	 Mg-Fe: 	 0.8732397601494655 	 in ( Si-Fe)
Fe-Si: 	 0.04105254556933429, 	 Fe-Co: 	 0.9589474544306656 	 in ( Si-Co)
Si-Fe: 	 0.5093130017208327, 	 Si-Co: 	 0.4906869982791673 	 in ( Co-Fe)
Co-Si: 	 0.039610688118794465, 	 Co-Fe: 	 0.9603893118812055 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Mg: 	 0.5, 	 Fe-Mg: 	 0.5 	 in ( Mg-Mg)
Mg-Fe: 	 0.0, 	 Mg-Mg: 	 1.0 	 in ( Mg-Fe)
Mg-Mg: 	 1.0, 	 Mg-Fe: 	 0.0 	 in ( Mg-Fe)
Fe-Mg: 	 0.9507007033641128, 	 Fe-Co: 	 0.04929929663588708 	 in ( Mg-Co)
Mg-Fe: 	 0.9667384189481526, 	 Mg-Co: 	 0.03326158105184748 	 in ( Co-Fe)
Co-Mg: 	 0.3988556633641517, 	 Co-Fe: 	 0.6011443366358484 	 in ( Mg-Fe)
Fe-Mg: 	 0.7737119318380996, 	 Fe-Si: 	 0.22628806816190036 	 in ( Mg-Si)
Mg-Fe: 	 0.8732397601494655, 	 Mg-Si: 	 0.1267602398505345 	 in ( Si-Fe)
Si-Mg: 	 0.33169651877846, 	 Si-Fe: 	 0.66830348122154 	 in ( Mg-Fe)
Fe-Co: 	 0.04929929663588708, 	 Fe-Mg: 	 0.9507007033641128 	 in ( Co-Mg)
Co-Fe: 	 0.6011443366358484, 	 Co-Mg: 	 0.3988556633641517 	 in ( Mg-Fe)
Mg-Co: 	 0.03326158105184748, 	 Mg-Fe: 	 0.9667384189481526 	 in ( Co-Fe)
Fe-Co: 	 0.5, 	 Fe-Co: 	 0.5 	 in ( Co-Co)
Co-Fe: 	 0.0, 	 Co-Co: 	 1.0 	 in ( Co-Fe)
Co-Co: 	 1.0, 	 Co-Fe: 	 0.0 	 in ( Co-Fe)
Fe-Co: 	 0.9589474544306656, 	 Fe-Si: 	 0.04105254556933429 	 in ( Co-Si)
Co-Fe: 	 0.9603893118812055, 	 Co-Si: 	 0.039610688118794465 	 in ( Si-Fe)
Si-Co: 	 0.4906869982791673, 	 Si-Fe: 	 0.5093130017208327 	 in ( Co-Fe)
Fe-Si: 	 0.22628806816190036, 	 Fe-Mg: 	 0.7737119318380996 	 in ( Si-Mg)
